72.233.140.17,Active,MW253,Marston/Watson,True
72.233.140.18,Active,MW3-11,Marston/Watson,False
72.233.140.28,Active,MW255,Marston/Watson,True
72.233.140.33,Active,SCCWATSON140,Marston/Watson,True
72.233.140.39,Active,6NICK213,6 Nickerson,True
72.233.140.40,Active,MW244-ADJUNCT,Marston/Watson,True
72.233.140.41,Active,SCCSPHILLIPS,MarstonWatson,True
72.233.140.43,Active,SCCWATSON138,Marston/Watson,True
72.233.140.66,Active,6NICK315-02,6 Nickerson,True
72.233.140.67,Active,MW3-05,Marston/Watson,False
72.233.140.74,Active,6NICK208-04,6 Nickerson,True
